"YEAR","MONTH","CITY","COUNT"
1960,12,"N YORK TWP",49
1960,12,"NIAGARA FALLS",26
1960,12,"NORTH BAY",16
1960,12,"OAKVILLE",11
1960,12,"ORANGEVILLE",6
1960,12,"ORILLIA",8
1960,12,"OSHAWA",19
1960,12,"OTTAWA",150
1960,12,"OWEN SOUND",9
1960,12,"PARRY SOUND",8
1960,12,"PEMBROKE",16
1960,12,"PETERBOROUGH",23
1960,12,"PORT ARTHUR",28
1960,12,"PORT COLBORNE",7
1960,12,"PORT CREDIT",6
1960,12,"PRESCOTT",8
1960,12,"PRESTON",7
1960,12,"SARNIA",21
1960,12,"SAULT STE MARIE",33
1960,12,"SCARBOROUGH TWP",47
1960,12,"SIMCOE",7
1960,12,"SMITHS FALLS",9
1960,12,"ST CATHARINES",36
1960,12,"ST THOMAS",10
1960,12,"STRATFORD",14
1960,12,"SUDBURY",62
1960,12,"TECK TWP",8
1960,12,"THOROLD",6
1960,12,"TIMMINS",15
1960,12,"TORONTO",785
1960,12,"TORONTO TWP",6
1960,12,"TRENTON",9
1960,12,"WELLAND",17
1960,12,"WESTON",13
1960,12,"WHITBY",6
1960,12,"WIDDIFIELD TWP",7
1960,12,"WINDSOR",80
1960,12,"WOODSTOCK",14
1960,12,"YORK TWP",16
1960,2,"BARRIE",8
1960,2,"BELLEVILLE",8
1960,2,"BRANTFORD",27
1960,2,"BROCKVILLE",7
1960,2,"BURLINGTON",14
1960,2,"CHATHAM",14
1960,2,"CORNWALL",23
1960,2,"E YORK TWP",7
1960,2,"EASTVIEW",8
1960,2,"ELLIOT LAKE",6
1960,2,"ETOBICOKE TWP",9
1960,2,"FORT ERIE",6
1960,2,"FORT FRANCES",6
1960,2,"FORT WILLIAM",23
1960,2,"GALT",13
1960,2,"GUELPH",14
1960,2,"HAMILTON",150
1960,2,"INGERSOLL",6
1960,2,"KINGSTON",32
1960,2,"KITCHENER",30
1960,2,"LEAMINGTON",12
1960,2,"LINDSAY",6
1960,2,"LONDON",72
1960,2,"LONG BRANCH",7
1960,2,"MIDLAND",6
1960,2,"MIMICO",12
1960,2,"N YORK TWP",29
1960,2,"NIAGARA FALLS",13
1960,2,"NORTH BAY",13
1960,2,"OAKVILLE",6
1960,2,"ORILLIA",10
1960,2,"OSHAWA",25
1960,2,"OTTAWA",118
1960,2,"OWEN SOUND",14
1960,2,"PEMBROKE",19
1960,2,"PETERBOROUGH",18
1960,2,"PORT ARTHUR",19
1960,2,"PORT COLBORNE",12
1960,2,"SARNIA",24
1960,2,"SAULT STE MARIE",33
1960,2,"SCARBOROUGH TWP",41
1960,2,"SIMCOE",8
1960,2,"SMITHS FALLS",8
1960,2,"ST CATHARINES",36
1960,2,"ST THOMAS",16
1960,2,"STAMFORD TWP",9
1960,2,"STRATFORD",7
1960,2,"STURGEON FALLS",6
1960,2,"SUDBURY",56
1960,2,"TECK TWP",12
1960,2,"TIMMINS",16
1960,2,"TORONTO",679
1960,2,"TRENTON",8
1960,2,"WALLACEBURG",9
1960,2,"WELLAND",20
1960,2,"WESTON",6
1960,2,"WHITBY",9
1960,2,"WINDSOR",88
1960,2,"WOODSTOCK",6
1960,2,"YORK TWP",14
1960,1,"BARRIE",8
1960,1,"BELLEVILLE",11
1960,1,"BRANTFORD",14
1960,1,"BROCKVILLE",6
1960,1,"BURLINGTON",6
1960,1,"CHATHAM",13
1960,1,"CORNWALL",11
1960,1,"ETOBICOKE TWP",11
1960,1,"FORT WILLIAM",10
1960,1,"GALT",8
1960,1,"GANANOQUE",7
1960,1,"GUELPH",19
1960,1,"HAMILTON",106
1960,1,"KINGSTON",25
1960,1,"KITCHENER",34
1960,1,"LONDON",58
1960,1,"MIDLAND",7
1960,1,"MIMICO",7
1960,1,"N YORK TWP",20
1960,1,"NIAGARA FALLS",20
1960,1,"NORTH BAY",20
1960,1,"OSHAWA",25
1960,1,"OTTAWA",96
1960,1,"OWEN SOUND",12
1960,1,"PEMBROKE",6
1960,1,"PETERBOROUGH",18
1960,1,"PORT ARTHUR",28
1960,1,"PORT COLBORNE",6
1960,1,"PRESTON",6
1960,1,"SARNIA",16
1960,1,"SAULT STE MARIE",21
1960,1,"SCARBOROUGH TWP",28
1960,1,"ST CATHARINES",25
1960,1,"ST THOMAS",17
1960,1,"STURGEON FALLS",6
1960,1,"SUDBURY",32
1960,1,"TECK TWP",6
1960,1,"TIMMINS",7
1960,1,"TORONTO",580
1960,1,"TORONTO TWP",7
1960,1,"TRENTON",7
1960,1,"WATERLOO",7
1960,1,"WELLAND",11
1960,1,"WESTON",10
1960,1,"WINDSOR",58
1960,1,"YORK TWP",18
1960,7,"ACTON",6
1960,7,"ALEXANDRIA",6
1960,7,"ALFRED",9
1960,7,"ALLISTON",6
1960,7,"AMHERSTBURG",11
1960,7,"ARNPRIOR",8
1960,7,"AYLMER",7
1960,7,"BANCROFT",6
1960,7,"BARRIE",33
1960,7,"BELLEVILLE",34
1960,7,"BRACEBRIDGE",6
1960,7,"BRADFORD",7
1960,7,"BRAMPTON",15
1960,7,"BRANTFORD",55
1960,7,"BROCKVILLE",35
1960,7,"BURLINGTON",31
1960,7,"CARLETON PLACE",6
1960,7,"CASSELMAN",9
1960,7,"CHARLOTTENBRGH",6
1960,7,"CHATHAM",32
1960,7,"CLINTON",11
1960,7,"COBOURG",12
1960,7,"COCHRANE",8
1960,7,"COLLINGWOOD",10
1960,7,"COPPER CLIFF",10
1960,7,"CORNWALL",48
1960,7,"DRESDEN",7
1960,7,"DRYDEN",10
1960,7,"DUNDAS",9
1960,7,"E YORK TWP",8
1960,7,"EASTVIEW",12
1960,7,"EGANVILLE",7
1960,7,"ELLIOT LAKE",12
1960,7,"ETOBICOKE TWP",44
1960,7,"FORT ERIE",10
1960,7,"FORT FRANCES",7
1960,7,"FORT WILLIAM",35
1960,7,"FRANKFORD",6
1960,7,"GALT",28
1960,7,"GANANOQUE",6
1960,7,"GEORGETOWN",7
1960,7,"GRANTHAM TWP",10
1960,7,"GRIMSBY",10
1960,7,"GUELPH",51
1960,7,"HAILEYBURY",6
1960,7,"HAMILTON",245
1960,7,"HANOVER",6
1960,7,"HAWKESBURY",10
1960,7,"INGERSOLL",11
1960,7,"IROQUOIS FALLS",6
1960,7,"KAPUSKASING",6
1960,7,"KENORA",9
1960,7,"KINCARDINE",8
1960,7,"KINGSTON",49
1960,7,"KIRKLAND LAKE",7
1960,7,"KITCHENER",85
1960,7,"LEAMINGTON",12
1960,7,"LEASIDE",8
1960,7,"LINDSAY",9
1960,7,"LONDON",142
1960,7,"LONDON TWP",9
1960,7,"LONG BRANCH",14
1960,7,"MIDLAND",8
1960,7,"MILTON",9
1960,7,"MIMICO",22
